subject,size,hashtag,RL,total_fix_dur_avr,total_fix_count_avr,account_fix_dur_avr,account_fix_count_avr,logo_fix_dur_avr,logo_fix_count_avr,pic_fix_dur_avr,pic_fix_count_avr,text_fix_dur_avr,text_fix_count_avr,sac_amp_avr,total_fix_dur,total_fix_count,account_fix_dur,account_fix_count,logo_fix_dur,logo _fix_count,pic_fix_dur,pic_fix_count,text_fix_dur,text_fix_count,trial count,ad_recog,brand,purch_intent,eWOM,purchase
11,small,no,l,8.47,33.50,0.20,0.50,0.00,0.00,3.54,13.50,27,9453,4.72,"4,726.50",19.50,16944.06,67,403,1,0,0,7088,39,2.00,5.5,5.50,5.00,2.83,6.00
11,small,no,r,8.89,29.00,0.00,0.00,0.00,0.00,0.91,4.00,4,6482,3.82,"6,482.00",22.00,8889.08,29,0,0,0,0,907,22,1.00,5,6.00,5.75,2.67,2.00
11,small,yes,l,8.59,28.00,0.00,0.00,0.00,0.00,1.35,4.50,9,14485,3.40,"7,242.50",23.50,17189.85,56,0,0,0,0,2705,47,2.00,3.5,3.50,4.38,1.83,3.50
11,small,yes,r,8.86,29.33,0.00,0.00,0.00,0.00,2.40,6.00,18,21442,2.84,"7,147.33",23.33,26569.07,88,0,0,0,0,7191.69,70,3.00,5.33,5.67,5.50,2.56,4.00
11,large,no,l,7.50,29.33,0.00,0.00,0.27,1.33,2.07,7.00,21,15107,3.81,"5,035.67",20.00,22502.92,88,0,0,804,4,6211,60,3.00,4.33,5.33,4.92,2.11,3.67
11,large,no,r,7.68,26.33,0.00,0.00,0.42,1.33,2.04,6.67,20,15559,4.12,"5,186.33",18.00,23025.13,79,0,0,1265,4,6121,54,3.00,3.33,4.67,4.83,2.00,5.33
11,large,yes,l,8.58,29.33,0.00,0.00,0.79,2.33,2.50,6.33,19,15029,3.62,"5,009.67",19.00,25738.83,88,0,0,2360,7,7487,57,3.00,5,5.67,5.83,2.56,4.33
11,large,yes,r,8.23,28.50,0.00,0.00,0.12,0.50,0.68,2.50,5,14860,3.02,"7,430.00",25.50,16458.99,57,0,0,247,1,1352,51,2.00,4,6.00,5.38,2.83,6.50
12,small,no,l,8.43,34.00,0.34,1.00,0.00,0.00,3.05,9.00,27,12358,4.04,"4,119.33",20.00,25277.29,102,1015,3,0,0,9159,60,3.00,4.33,4.00,3.50,3.00,3.67
12,small,no,r,8.59,29.33,0.00,0.00,0.20,1.00,3.54,9.00,27,13222,3.87,"4,407.33",17.33,25768.08,88,0,0,590,3,10621,52,3.00,6,4.00,4.33,3.56,4.67
12,small,yes,l,8.38,31.00,0.43,1.00,0.00,0.00,1.82,6.67,20,18181,3.34,"6,060.33",23.00,25131.21,93,1290,3,0,0,5468,69,3.00,5.67,4.00,4.17,3.44,4.00
12,small,yes,r,8.55,33.33,0.16,0.67,0.00,0.00,1.79,6.33,19,19246,3.38,"6,415.33",25.67,25639.14,100,494,2,0,0,5357,77,3.00,5.67,4.00,4.33,3.56,5.00
12,large,no,l,8.52,36.00,0.13,0.33,0.22,1.33,3.02,9.67,29,14871,3.57,"4,957.00",24.00,25564.07,108,381,1,651,4,9064,72,3.00,5.33,4.00,4.17,3.44,4.67
12,large,no,r,8.55,33.33,0.12,0.67,0.28,1.00,4.11,13.33,40,11339,4.78,"3,779.67",17.00,25659.96,100,367,2,853,3,12325,51,3.00,5.67,4.00,4.42,3.78,5.00
12,large,yes,l,8.90,33.67,0.05,0.33,0.20,1.00,2.33,7.67,23,17034,2.85,"5,678.00",23.00,26690.08,101,143,1,598,3,6991,69,3.00,6,4.00,4.00,3.56,4.33
12,large,yes,r,8.81,32.00,0.00,0.00,0.38,1.50,2.26,4.50,9,11903,3.37,"5,951.50",25.00,17611.84,64,0,0,755,3,4514,50,2.00,5.5,4.00,4.50,4.00,5.00
